Gene Name	Product Name	GO terms (molecular function)	Left-End-Position	Right-End-Position	Direction
ompR	OmpR-Phosphorylated // DNA-binding transcriptional dual regulator OmpR	DNA-binding transcription factor activity // protein binding // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // DNA binding // phosphorelay response regulator activity	3535865	3536584	-
oxyR	DNA-binding transcriptional dual regulator OxyR	DNA binding // protein binding // DNA-binding transcription factor activity // bacterial-type cis-regulatory region sequence-specific DNA binding	4158490	4159407	+
paaX	DNA-binding transcriptional repressor PaaX	protein binding // DNA binding // bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding	1463539	1464489	+
pdhR	DNA-binding transcriptional dual regulator PdhR	DNA binding // DNA-binding transcription factor activity	122092	122856	+
pgrR	DNA-binding transcriptional repressor PgrR	DNA-binding transcription factor activity // sequence-specific DNA binding // DNA binding	1391991	1392890	+
phnF	putative transcriptional regulator PhnF	DNA binding // DNA-binding transcription factor activity	4321697	4322422	-
phoB	Phosphorylated DNA-binding transcriptional dual regulator PhoB // DNA-binding transcriptional dual regulator PhoB	DNA-binding transcription factor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // identical protein binding // phosphorelay response regulator activity // DNA binding // bacterial-type RNA polymerase holo enzyme binding	417142	417831	+
phoP	Phosphorylated DNA-binding transcriptional dual regulator PhoP // DNA-binding transcriptional dual regulator PhoP	DNA-binding transcription factor activity // phosphorelay response regulator activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // identical protein binding // DNA binding	1189776	1190447	-
plaR	DNA-binding transcriptional repressor PlaR	DNA-binding transcription factor activity // DNA binding	3741684	3742532	-
prpR	DNA-binding transcriptional dual regulator PrpR	sequence-specific DNA binding // transcription factor binding // phosphorelay response regulator activity // DNA binding // ATP binding // nucleotide binding // DNA-binding transcription factor activity	346857	348443	-
pspF	DNA-binding transcriptional dual regulator PspF	transcription factor binding // ATP binding // nucleotide binding // sequence-specific DNA binding // DNA binding	1366935	1367912	-
purR	DNA-binding transcriptional repressor PurR	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // protein binding // DNA binding // DNA-binding transcription repressor activity // protein homodimerization activity // guanine binding	1737844	1738869	+
putA	fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor // identical protein binding // oxidoreductase activity // catalytic activity // DNA-binding transcription factor activity // sequence-specific DNA binding // protein homodimerization activity // DNA-binding transcription repressor activity // bacterial-type cis-regulatory region sequence-specific DNA binding // flavin adenine dinucleotide binding // DNA binding // 1-pyrroline-5-carboxylate dehydrogenase activity // proline dehydrogenase activity	1074920	1078882	-
puuR	DNA-binding transcriptional repressor PuuR	DNA-binding transcription factor activity // DNA binding	1361911	1362468	+
pyrR	phosphorylated DNA-binding transcriptional dual regulator PyrR // DNA-binding transcriptional activator PyrR	DNA-binding transcription factor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // phosphorelay response regulator activity // DNA binding	2500383	2501117	+
qseB	Phosphorylated DNA-binding transcriptional activator QseB // DNA-binding transcriptional activator QseB	DNA-binding transcription factor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // phosphorelay response regulator activity // DNA binding	3169828	3170487	+
racR	Rac prophage; DNA-binding transcriptional repressor RacR	DNA binding // DNA-binding transcription repressor activity	1419765	1420241	-
rapA	RNA polymerase-binding ATPase and RNAP recycling factor	hydrolase activity, acting on acid anhydrides // hydrolase activity // ATP binding // helicase activity // DNA binding // nucleotide binding // bacterial-type RNA polymerase core enzyme binding // protein binding // ATPase activity // nucleic acid binding	60358	63264	-
rbsR	DNA-binding transcriptional dual regulator RbsR	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // protein binding // DNA binding // monosaccharide binding // DNA-binding transcription activator activity // bacterial-type cis-regulatory region sequence-specific DNA binding	3938227	3939219	+
rcdA	DNA-binding transcriptional regulator RcdA	DNA-binding transcription factor activity // DNA binding	887423	887959	+
rcdB	putative DNA-binding transcriptional regulator YhjC	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	3672414	3673313	+
rclR	DNA-binding transcriptional activator RclR	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding // DNA-binding transcription activator activity	320227	321081	+
rcnR	DNA-binding transcriptional repressor RcnR	metal ion binding // DNA binding	2185524	2185796	-
rcsA	DNA-binding transcriptional activator RcsA	DNA binding	2023968	2024591	+
rcsB	P<SUP>asp56</SUP> RcsB // DNA-binding transcriptional activator RcsB	protein binding // DNA binding // DNA-binding transcription activator activity // DNA-binding transcription repressor activity	2316177	2316827	+
relB	Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB	DNA-binding transcription repressor activity // transcription regulatory region sequence-specific DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding // DNA binding // protein binding	1645633	1645872	-
rfaH	transcription antiterminator RfaH	DNA binding // regulatory RNA binding // protein binding // translation activator activity // bacterial-type RNA polymerase core enzyme binding // transcription antitermination factor activity, DNA binding	4024333	4024821	-
rhaR	DNA-binding transcriptional activator RhaR	DNA binding // DNA-binding transcription factor activity // sequence-specific DNA binding	4098646	4099494	+
rhaS	DNA-binding transcriptional activator RhaS	sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	4097736	4098572	+
rnk	nucleoside diphosphate kinase regulator	protein binding // RNA polymerase binding // DNA binding // bacterial-type RNA polymerase core enzyme binding	643557	643967	-
rob	DNA-binding transcriptional dual regulator Rob	DNA-binding transcription factor activity // sequence-specific DNA binding // DNA binding	4634441	4635310	-
rpoD	RNA polymerase, sigma 70 (sigma D) factor	DNA-binding transcription factor activity // protein binding // DNA binding // sigma factor activity	3213047	3214888	+
rpoE	RNA polymerase sigma E factor	DNA-binding transcription factor activity // protein binding // DNA binding // sigma factor activity	2709437	2710012	-
rpoH	RNA polymerase, sigma 32 (sigma H) factor	DNA-binding transcription factor activity // DNA-binding transcription activator activity // site-specific recombinase activity // bacterial-type RNA polymerase core promoter sequence-specific DNA binding // DNA binding // bacterial-type RNA polymerase core enzyme binding // protein binding // sigma factor activity	3599929	3600783	-
rpoN	RNA polymerase, sigma 54 (sigma N) factor	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription activator activity // nucleotidyltransferase activity // transferase activity // DNA-directed 5'-3' RNA polymerase activity // DNA binding // sigma factor activity	3344717	3346150	+
rpoS	RNA polymerase, sigma S (sigma 38) factor	DNA-binding transcription factor activity // protein binding // DNA binding // bacterial-type RNA polymerase core enzyme binding // sigma factor activity	2866559	2867551	-
rstA	Phosphorylated DNA-binding transcriptional regulator RstA // DNA-binding transcriptional regulator RstA	DNA-binding transcription factor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // phosphorelay response regulator activity // protein binding // DNA binding	1682159	1682878	+
rtcR	DNA-binding transcriptional activator RtcR	transcription factor binding // DNA binding // ATP binding // nucleotide binding // DNA-binding transcription factor activity	3558268	3559866	+
rutR	DNA-binding transcriptional dual regulator RutR	transcription regulatory region sequence-specific DNA binding // protein binding // DNA binding // DNA-binding transcription factor activity	1074242	1074880	+
sdiA	DNA-binding transcriptional dual regulator SdiA	DNA binding	1996110	1996832	-
sfsA	putative DNA-binding transcriptional regulator of maltose metabolism	protein binding // DNA binding	160782	161486	-
sfsB	putative transcriptional regulator SfsB	DNA binding	3334909	3335187	+
sgcR	KpLE2 phage-like element; putative DNA-binding transcriptional regulator SgcR	DNA-binding transcription factor activity // DNA binding	4526106	4526888	-
sgrR	DNA-binding transcriptional dual regulator SgrR	peptide transmembrane transporter activity // DNA binding // bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding	75644	77299	-
slyA	DNA-binding transcriptional dual regulator SlyA	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	1720390	1720824	-
soxR	DNA-binding transcriptional dual regulator SoxR	iron-sulfur cluster binding // metal ion binding // DNA binding // 2 iron, 2 sulfur cluster binding	4277469	4277933	+
soxS	DNA-binding transcriptional dual regulator SoxS	DNA binding // sequence-specific DNA binding // DNA-binding transcription factor activity // bacterial-type cis-regulatory region sequence-specific DNA binding // bacterial-type RNA polymerase holo enzyme binding	4277060	4277383	-
srlR	DNA-binding transcriptional repressor SrlR	protein binding // DNA-binding transcription factor activity // DNA binding	2829047	2829820	+
stpA	DNA-binding transcriptional repressor StpA with RNA chaperone activity	bent DNA binding // minor groove of adenine-thymine-rich DNA binding // DNA-binding transcription repressor activity // transcription regulatory region sequence-specific DNA binding // RNA binding // protein binding // protein dimerization activity // DNA binding	2798091	2798495	-
sutR	DNA-binding transcriptional dual regulator SutR	DNA-binding transcription factor activity // sequence-specific DNA binding // DNA binding	1506172	1506708	+
sxy	transcriptional coactivator for CRP	protein binding	1021138	1021767	+
tdcA	DNA-binding transcriptional activator TdcA	sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity // bacterial-type cis-regulatory region sequence-specific DNA binding	3266127	3267065	-
tdcR	DNA-binding transcriptional activator TdcR	DNA binding	3267380	3267598	+
tldD	metalloprotease subunit TldD	hydrolase activity // metallopeptidase activity // peptidase activity // protein binding // zinc ion binding // iron ion binding	3390583	3392028	-
torI	CPS-53 (KpLE1) prophage; prophage CPS-53 recombination directionality factor and response regulator inhibitor	identical protein binding // sequence-specific DNA binding // protein binding // DNA binding	2476310	2476510	+
torR	DNA-binding transcriptional dual regulator TorR	DNA-binding transcription factor activity // DNA-binding transcription activator activity // transcription regulatory region sequence-specific DNA binding // DNA binding // phosphorelay response regulator activity	1057262	1057954	-
torT	TorT-TMAO // periplasmic trimethylamine-N-oxide binding protein	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding	1056261	1057289	+
treR	DNA-binding transcriptional repressor TreR	transcription regulatory region sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	4466299	4467246	-
trpR	DNA-binding transcriptional repressor TrpR	DNA-binding transcription factor activity // sequence-specific DNA binding // DNA binding	4632760	4633086	+
ttdR	Dan transcriptional activator // DNA-binding transcriptional activator Dan	DNA-binding transcription activator activity, RNA polymerase II-specific // sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	3205324	3206256	-
tyrR	DNA-binding transcriptional dual regulator TyrR	protein binding // nucleotide binding // transcription factor binding // ATP binding // DNA binding	1386720	1388261	+
uhpA	UhpA-Phosphorylated // DNA-binding transcriptional activator UhpA	DNA binding	3850136	3850726	-
uidR	DNA-binding transcriptional repressor UidR	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // DNA binding	1696462	1697052	-
ulaR	DNA-binding transcriptional repressor UlaR	DNA-binding transcription factor activity // protein binding // DNA binding // L-ascorbic acid binding	4417698	4418453	-
uvrY	Phosphorylated DNA-binding transcriptional activator UvrY // DNA-binding transcriptional activator UvrY	DNA binding // phosphorelay response regulator activity	1994703	1995359	-
uxuR	DNA-binding transcriptional repressor UxuR	DNA-binding transcription factor activity // DNA binding	4554576	4555349	+
xapR	DNA-binding transcriptional activator XapR	bacterial-type cis-regulatory region sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	2521593	2522477	-
xylR	DNA-binding transcriptional dual regulator XylR	transcription regulatory region sequence-specific DNA binding // sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	3734979	3736157	+
xynR	CP4-6 prophage; DNA-binding transcriptional repressor XynR	DNA-binding transcription factor activity // DNA binding // transcription regulatory region sequence-specific DNA binding	288404	289162	-
yafC	LysR family transcriptional regulator YafC	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	229967	230881	-
yahB	putative LysR-type DNA-binding transcriptional regulator YahB	transcription regulatory region sequence-specific DNA binding // protein binding // DNA-binding transcription factor activity // DNA binding	333501	334433	-
ybaQ	DNA-binding transcriptional regulator YbaQ	DNA binding	508218	508559	+
ybdO	putative LysR family DNA-binding transcriptional regulator YbdO	DNA-binding transcription factor activity // DNA binding	636716	637618	-
ybeF	putative LysR-type DNA-binding transcriptional regulator YbeF	DNA-binding transcription factor activity // DNA binding	660425	661378	-
ybhD	putative DNA-binding transcriptional regulator YbhD	sequence-specific DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	799622	800575	-
ycaN	putative LysR-type transcriptional regulator YcaN	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	948660	949568	-
yciT	putative DNA-binding transcriptional regulator YciT	DNA-binding transcription factor activity // DNA binding	1343597	1344346	-
ycjW	DNA-binding transcriptional repressor YcjW	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // DNA binding // bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding	1382963	1383961	-
ydcI	DNA-binding transcriptional dual regulator YdcI	bacterial-type cis-regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // sequence-specific DNA binding // DNA binding	1494148	1495071	-
ydcR	fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR	pyridoxal phosphate binding // catalytic activity // DNA-binding transcription factor activity // transferase activity // transaminase activity // DNA binding	1510003	1511409	+
yddM	DNA-binding transcriptional regulator YddM	DNA binding	1552398	1552682	-
ydeO	DNA-binding transcriptional dual regulator YdeO	sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	1582926	1583687	-
ydfH	DNA-binding transcriptional repressor YdfH	DNA-binding transcription factor activity // DNA binding	1628352	1629038	+
ydhB	putative LysR family DNA-binding transcriptional regulator YdhB	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	1738866	1739798	-
ydiP	putative DNA-binding transcriptional regulator YdiP	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	1778390	1779301	-
ydjF	putative DNA-binding transcriptional regulator YdjF	protein binding // DNA-binding transcription factor activity // DNA binding	1854096	1854854	-
yebK	DNA-binding transcriptional repressor YebK	carbohydrate derivative binding // DNA binding // DNA-binding transcription factor activity	1936652	1937521	+
yeeY	putative DNA-binding transcriptional regulator YeeY	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	2087329	2088258	-
yeiE	LysR-type transcriptional regulator YeiE	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	2248737	2249618	-
yeiL	putative DNA-binding transcriptional regulator YeiL	DNA-binding transcription factor activity // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // DNA binding	2255355	2256014	+
yfaX	putative DNA-binding transcriptional regulator YfaX	DNA-binding transcription factor activity // protein binding // DNA binding	2361429	2362211	-
yfeC	putative DNA-binding transcriptional regulator YfeC		2518467	2518811	+
yfeD	putative DNA-binding transcriptional regulator YfeD	DNA binding	2518813	2519205	+
yfeR	putative LysR-type DNA-binding transcriptional regulator YfeR	sequence-specific DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	2525930	2526856	-
yfhH	putative DNA-binding transcriptional regulator YfhH	carbohydrate derivative binding // DNA-binding transcription factor activity // DNA binding	2698759	2699607	+
yfiE	putative LysR-type DNA-binding transcriptional regulator YfiE	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	2714439	2715320	-
ygaV	putative DNA-binding transcriptional regulator YgaV	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	2797211	2797510	+
ygbI	putative DeoR-type DNA-binding transcriptional regulator YgbI	DNA-binding transcription factor activity // DNA binding	2860467	2861234	-
ygeH	putative transcriptional regulator YgeH	DNA binding	2992094	2993470	+
ygeV	putative &sigma;<sup>54</sup>-dependent transcriptional regulator YgeV	sequence-specific DNA binding // transcription factor binding // ATP binding // DNA binding // nucleotide binding	3004008	3005786	-
ygfI	putative LysR-type DNA-binding transcriptional regulator YgfI	DNA-binding transcription factor activity // DNA binding	3066277	3067173	-
yghO	putative DNA-binding transcriptional regulator YghO		3129043	3130215	-
ygiV	DNA-binding transcriptional repressor YgiV		3168749	3169231	-
yhaJ	DNA-binding transcriptional activator YhaJ	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding // DNA-binding transcription activator activity	3253318	3254214	-
yheO	DNA-binding transcriptional regulator YheO		3475718	3476440	-
yhjB	putative DNA-binding transcriptional regulator YhjB	protein binding // DNA binding	3671292	3671894	-
yiaG	putative DNA-binding transcriptional regulator YiaG	DNA binding	3719478	3719768	+
yiaU	putative LysR-type DNA-binding transcriptional regulator YiaU	sequence-specific DNA binding // bacterial-type cis-regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	3751992	3752966	+
yidL	putative DNA-binding transcriptional regulator YidL	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	3860283	3861176	+
yidP	putative DNA-binding transcriptional regulator YidP	DNA-binding transcription factor activity // DNA binding	3863899	3864615	+
yidZ	putative LysR-type transcriptional regulator YidZ	DNA-binding transcription factor activity // DNA binding	3892765	3893724	+
yieP	DNA-binding transcriptional regulator YieP	DNA-binding transcription factor activity // DNA binding	3940635	3941327	-
yihL	putative transcriptional regulator YihL	DNA-binding transcription factor activity // DNA binding	4060447	4061157	+
yiiE	putative DNA-binding transcriptional regulator YiiE		4079291	4079509	+
yijO	putative DNA-binding transcriptional regulator YijO	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	4147466	4148317	-
yjdC	putative DNA-binding transcriptional regulator YjdC	DNA-binding transcription factor activity // transcription regulatory region sequence-specific DNA binding // DNA binding	4362733	4363308	-
yjhI	KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhI	DNA-binding transcription factor activity // DNA binding	4525015	4525803	-
yjhU	KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhU	carbohydrate binding // DNA binding	4519338	4520324	-
yjiR	fused putative DNA-binding transcriptional regulator/putative aminotransferase YjiR	pyridoxal phosphate binding // catalytic activity // DNA-binding transcription factor activity // transferase activity // transaminase activity // DNA binding	4570162	4571574	-
yjjQ	DNA-binding transcriptional repressor YjjQ	DNA binding	4603477	4604202	+
ykgA	putative DNA-binding transcriptional regulator YkgA		316450	317136	-
ylbG	putative DNA-binding transcriptional regulator YlbG		529645	530016	-
yneJ	putative LysR-type DNA-binding transcriptional regulator YneJ	transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	1614804	1615685	+
ynfL	putative DNA-binding transcriptional regulator	bacterial-type cis-regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	1668699	1669592	-
ypdC	putative AraC-type DNA-binding transcriptional regulator YpdC	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	2501130	2501987	+
yphH	putative DNA-binding transcriptional regulator, NAGC-like		2682863	2684056	+
yqeI	putative transcriptional regulator YqeI	DNA binding	2988502	2989311	+
yqhC	DNA-binding transcriptional activator YqhC	sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding // DNA-binding transcription activator activity // bacterial-type cis-regulatory region sequence-specific DNA binding	3154262	3155218	-
ytfH	putative transcriptional regulator YtfH	DNA binding	4434113	4434493	+
zntR	DNA-binding transcriptional activator ZntR	protein binding // DNA binding // metal ion binding // bacterial-type cis-regulatory region sequence-specific DNA binding // DNA-binding transcription activator activity // zinc ion binding // DNA-binding transcription factor activity	3438705	3439130	-
zraR	Phosphorylated DNA-binding transcriptional activator ZraR // DNA-binding transcriptional activator ZraR	sequence-specific DNA binding // transcription factor binding // ATP binding // DNA binding // nucleotide binding // phosphorelay response regulator activity	4203320	4204645	+
zur	DNA-binding transcriptional repressor Zur	zinc ion binding // identical protein binding // DNA-binding transcription repressor activity // transcription regulatory region sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	4259488	4260003	-
